City_CH,City_EN,FID,Field_1,GbCity,GbProv,Prov_CH,Prov_EN,T_D_1010,T_C_1010,Population,PM2.5,Death_rate,PM10,CO,NO2,O3,SO2
北京市,Beijing,0,24,1100,11,北京市,Beijing,9,936,1863.4,33.70833333,0.96,55,0.792916667,48.875,10.29166667,6.708333333
天津市,Tianjin,1,245,1200,12,天津市,Tianjin,3,244,1296.81,59.75,1.23,94.5,1.157083333,72.91666667,10.04166667,14.20833333
唐山市,Tangshan,3,244,1302,13,河北省,Hebei,1,58,193.99,70.625,1.72,133.4583333,1.882083333,69.625,11.16666667,35.20833333
秦皇岛市,Qinhuangdao,4,201,1303,13,河北省,Hebei,1,10,100.9,39.5,10,74.41666667,1.389583333,44.75,22.20833333,25.41666667
邢台市,Xingtai,6,282,1305,13,河北省,Hebei,1,23,90.52,55.54166667,4.35,108.125,1.219583333,55.75,11.95833333,23.83333333
沧州市,Cangzhou,10,30,1309,13,河北省,Hebei,3,49,56.41,64.25,6.12,104.3333333,1.394583333,56.08333333,17.70833333,27.875
巴彦淖尔盟,Bayannaoer,34,11,1528,15,内蒙古,Neimenggu,1,8,31.79,71.45833333,12.5,126.5833333,1.572916667,51,18.5,50.66666667
朝阳市,Chaoyang,48,36,2113,21,辽宁省,Liaoning,1,6,57.45,70.45833333,16.67,108.5416667,1.887916667,43.91666667,24.625,41.08333333
葫芦岛市,Huludao,49,103,2114,21,辽宁省,Liaoning,1,12,68.3,65.625,8.33,119.7916667,1.661666667,49.83333333,20.04166667,59.58333333
吉林市,Jilin,51,116,2202,22,吉林省,Jilin,1,48,1051.48,72.125,2.08,89.66666667,1.187916667,44.45833333,38.25,23.91666667
四平市,Siping,52,233,2203,22,吉林省,Jilin,1,17,54.41,59.54166667,5.88,98.70833333,1.313333333,48.20833333,29.25,21.08333333
哈尔滨市,Haerbin,59,79,2301,23,黑龙江省,Heilongjiang,4,264,421.4,90.54166667,1.52,100.9166667,1.015833333,44.16666667,32.66666667,34.45833333
齐齐哈尔市,Qiqihaer,60,196,2302,23,黑龙江省,Heilongjiang,1,43,107.76,25.41666667,2.33,37.54166667,0.648333333,18.54166667,44.16666667,24.20833333
双鸭山市,Shuangyashan,63,230,2305,23,黑龙江省,Heilongjiang,3,52,44.3,28.875,5.77,44.625,0.625,15.33333333,50.91666667,17.16666667
大庆市,Daqing,64,48,2306,23,黑龙江省,Heilongjiang,1,27,115.3,33.29166667,3.7,45.04166667,0.56,25.25,41.04166667,12.5
绥化市,Suihua,70,236,2312,23,黑龙江省,Heilongjiang,4,47,35.52,80.20833333,8.51,86.91666667,0.7,30.95833333,40.66666667,21.16666667
上海市,Shanghai,72,219,3100,31,上海市,Shanghai,7,1048,2423.78,14.20833333,0.67,23.66666667,0.418333333,41.625,41.625,6.25
