City_CH,City_EN,FID,Field_1,GbCity,GbProv,Prov_CH,Prov_EN,T_D_1010,T_C_1010,Population,PM2.5,Death_rate,PM10,CO,NO2,O3,SO2
北京市,Beijing,0,24,1100,11,北京市,Beijing,9,936,1863.4,33.70833333,0.96,55,0.792916667,48.875,10.29166667,6.708333333
天津市,Tianjin,1,245,1200,12,天津市,Tianjin,3,244,1296.81,59.75,1.23,94.5,1.157083333,72.91666667,10.04166667,14.20833333
石家庄市,Shijiazhuang,2,228,1301,13,河北省,Hebei,0,29,281.16,69,0.00,135.1666667,1.489166667,63.875,11.75,26.20833333
唐山市,Tangshan,3,244,1302,13,河北省,Hebei,1,58,193.99,70.625,1.72,133.4583333,1.882083333,69.625,11.16666667,35.20833333
秦皇岛市,Qinhuangdao,4,201,1303,13,河北省,Hebei,1,10,100.9,39.5,10.00,74.41666667,1.389583333,44.75,22.20833333,25.41666667
邯郸市,Handan,5,86,1304,13,河北省,Hebei,0,32,194.78,52.375,0.00,98.54166667,0.885833333,46.20833333,18.125,14.04166667
邢台市,Xingtai,6,282,1305,13,河北省,Hebei,1,23,90.52,55.54166667,4.35,108.125,1.219583333,55.75,11.95833333,23.83333333
保定市,Baoding,7,21,1306,13,河北省,Hebei,0,34,143.46,52.91666667,0.00,106.9583333,1.145,62.83333333,10.66666667,20.33333333
张家口市,Zhangjiakou,8,318,1307,13,河北省,Hebei,0,43,100.63,31.58333333,0.00,56.625,0.98625,37.58333333,36.91666667,23.54166667
承德市,Chengde,9,40,1308,13,河北省,Hebei,0,7,55.03,55.95833333,0.00,87.5,1.796666667,50.16666667,12.29166667,27.58333333
沧州市,Cangzhou,10,30,1309,13,河北省,Hebei,3,49,56.41,64.25,6.12,104.3333333,1.394583333,56.08333333,17.70833333,27.875
廊坊市,Langfang,11,143,1310,13,河北省,Hebei,0,32,50.74,42.75,0.00,78.91666667,0.907916667,59.58333333,12,11.58333333
衡水市,Hengshui,12,98,1311,13,河北省,Hebei,0,8,60.98,56.04166667,0.00,98.25,0.81375,46.29166667,18.20833333,18.70833333
太原市,Taiyuan,13,241,1401,14,山西省,Shanxi,0,21,293.46,81.33333333,0.00,137.6666667,1.976666667,68.58333333,8.041666667,57.625
大同市,Datong,14,49,1402,14,山西省,Shanxi,0,12,122.75,77.58333333,0.00,170.5833333,3.9025,62.875,8.791666667,84.08333333
阳泉市,Yangquan,15,296,1403,14,山西省,Shanxi,0,4,61.91,63.41666667,0.00,113.2083333,1.71625,60.95833333,10.91666667,53.91666667
长治市,Changzhi,16,323,1404,14,山西省,Shanxi,0,8,71.48,56.79166667,0.00,92.91666667,1.490416667,51.625,25.125,34.5
晋城市,Jincheng,17,128,1405,14,山西省,Shanxi,0,10,49.8,51.29166667,0.00,107.375,1.4,42.70833333,30.58333333,26.625
