Prov_EN,Death_rate,PM2.5,PM10,CO,NO2,O3,SO2
Beijing,0.96,33.70833333,55,0.792916667,48.875,10.29166667,6.708333333
Tianjin,1.23,59.75,94.5,1.157083333,72.91666667,10.04166667,14.20833333
Hebei,5.5475,57.47916667,105.0833333,1.471458333,56.55208333,15.76041667,28.08333333
Neimenggu,12.5,71.45833333,126.5833333,1.572916667,51,18.5,50.66666667
Liaoning,12.5,68.04166667,114.1666667,1.774791667,46.875,22.33333334,50.33333333
Jilin,3.98,65.83333334,94.1875,1.250625,46.33333333,33.75,22.5
Heilongjiang,4.366,51.66666667,63.00833334,0.709833333,26.85,41.89166667,21.9
Shanghai,0.67,14.20833333,23.66666667,0.418333333,41.625,41.625,6.25
Zhejiang,0.2,20.83333333,47,0.509583333,37.29166667,34.75,10.25
Anhui,1.85,48.72916667,75.41666667,0.664583334,51.54166667,16.16666667,11.625
Fujian,1.39,22.625,38.66666667,0.433333333,26.45833333,56.29166667,5.041666667
Jiangxi,1.35,51.25,84.66666667,1.068333333,39.5,55.25,10.41666667
Shandong,3.724,50.25,81.63333333,0.89025,39.80833333,30.3,17.54166667
Henan,3.694545455,60.44318182,89.84090909,0.808333333,43.4280303,16.81818182,11.95075758
Hubei,3.802727273,52.79924242,86.09090909,0.872689394,41.15530303,18.86742424,12.10606061
Hunan,0.816666667,78.625,89.58333332,1.088194444,39.93055555,7.027777778,10.19444444
Guangdong,2.945,43.14583333,62.06944445,0.902013889,32.64583333,42.72222222,9.249999999
Guangxi,2.92,49.33333334,71.60416667,1.042291667,21.58333334,58.3125,9.8125
Hainan,1.82,8.208333333,17.25,0.65625,5.666666667,69.41666667,4.416666667
Chongqing,1.03,66.45833333,92.16666667,0.977916667,50.04166667,15.41666667,10.45833333
Sichuan,0.93,102.7916667,124.2083333,0.92125,44.625,16.08333333,6.291666667
Guizhou,6.39,28.64583333,47.08333333,0.996875,19.91666667,41.08333333,18.75
Yunnan,7.14,18.91666667,30.375,0.8025,19.875,33.79166667,5.75
Shaanxi,2.5,86.95833333,133.5,1.25875,53,9.083333333,18.91666667
Gansu,5.41,73.66666667,125.75,2.300833333,93.79166667,19.25,38.375
