City_EN,Prov_EN,City_CN,PM10_Poll_Ind,PM10,PM2.5_Poll_Ind,PM2.5,CO_Poll_Ind,CO,NO2_Poll_Ind,NO2,O3_Poll_Ind,O3,SO2_Poll_Ind,SO2,Population,Urban_Area_Sq_Km,Pop_Dens_Proxy,Green_Space,Urban_Rail_Ind,Industrial_Manufacturing,Road_Street_Trans,Arable_Land,T_C_0129,T_C_0130,T_C_0131,T_C_0201,T_C_0202,T_C_0203,T_C_0204,T_C_0205,T_C_0206,T_C_0207,T_C_0208,T_C_0209,T_C_0210,T_C_0211,T_C_0212,T_C_0213,T_C_0214,T_C_0215
Beijing,Beijing,??,0,55,0,33.70833333,0,0.792916667,0,48.875,0,10.29166667,0,6.708333333,1863.4,16410,0.113552712,116.24,1,263.09,271.62,6.12,114,132,156,183,212,228,253,274,297,315,326,337,342,352,366,372,375,380
Tianjin,Tianjin,??,0,94.5,0,59.75,1,1.157083333,0,72.91666667,0,10.04166667,0,14.20833333,1296.81,2585.19,0.501630441,115.75,1,222.38,141.87,15.21,27,31,32,41,48,60,67,69,79,81,88,91,95,106,112,119,120,122
Shijiazhuang,Hebei,???,1,135.1666667,1,69,1,1.489166667,0,63.875,0,11.75,0,26.20833333,281.16,518.81,0.541932499,10.01,1,7.04,9.59,1.99,11,11,12,13,16,21,21,24,24,24,24,25,27,27,27,27,27,28
Tangshan,Hebei,??,1,133.4583333,1,70.625,1,1.882083333,0,69.625,0,11.16666667,0,35.20833333,193.99,289.07,0.671083129,44.5,0,43.42,36.8,0,3,7,8,11,11,11,12,17,19,23,27,28,31,33,35,43,46,51
Qinhuangdao,Hebei,???,0,74.41666667,0,39.5,1,1.389583333,0,44.75,0,22.20833333,0,25.41666667,100.9,330.25,0.305526117,26.5,0,15,23,0.16,0,0,1,1,2,2,3,3,5,7,7,7,9,9,9,9,10,10
Handan,Hebei,??,0,98.54166667,0,52.375,1,0.885833333,0,46.20833333,0,18.125,0,14.04166667,194.78,556,0.350323741,16.25,0,16.1,18.21,5.87,6,7,10,11,11,14,14,18,22,26,27,27,27,29,31,31,31,31
Xingtai,Hebei,??,1,108.125,0,55.54166667,1,1.219583333,0,55.75,0,11.95833333,0,23.83333333,90.52,114.8,0.788501742,8.71,0,17.69,19.34,0,5,7,10,10,14,16,16,19,19,21,21,21,21,21,21,22,22,22
Baoding,Hebei,??,1,106.9583333,0,52.91666667,1,1.145,0,62.83333333,0,10.66666667,0,20.33333333,143.46,344.93,0.415910475,15.17,0,46.85,24.09,2.52,7,11,11,13,13,13,17,17,18,18,21,26,30,31,31,31,32,32
Zhangjiakou,Hebei,???,0,56.625,0,31.58333333,1,0.98625,0,37.58333333,0,36.91666667,0,23.54166667,100.63,407.45,0.246975089,26.02,0,6.67,21.52,0.31,6,6,8,9,9,9,10,12,13,14,14,17,21,21,25,31,33,34
Chengde,Hebei,??,0,87.5,0,55.95833333,1,1.796666667,0,50.16666667,0,12.29166667,0,27.58333333,55.03,724.03,0.076005138,15.41,0,10.48,10.86,0.55,2,2,2,2,2,3,4,5,6,7,7,7,7,7,7,7,7,7
Cangzhou,Hebei,??,1,104.3333333,1,64.25,1,1.394583333,0,56.08333333,0,17.70833333,0,27.875,56.41,183,0.308251366,12.34,0,11.4,14.53,0.32,12,18,19,19,19,20,20,21,23,28,28,28,32,37,42,45,46,47
Langfang,Hebei,??,0,78.91666667,0,42.75,1,0.907916667,0,59.58333333,0,12,0,11.58333333,50.74,292,0.173767123,13.02,0,7.17,12.84,3.75,9,9,11,11,12,12,13,14,15,20,22,24,26,28,29,29,29,30
Hengshui,Hebei,??,0,98.25,0,56.04166667,1,0.81375,0,46.29166667,0,18.20833333,0,18.70833333,60.98,401.4,0.151918286,14.36,0,6.68,11.01,0.5,4,4,4,4,4,5,5,7,7,7,8,8,8,8,8,8,8,8
Taiyuan,Shanxi,??,1,137.6666667,1,81.33333333,1,1.976666667,0,68.58333333,0,8.041666667,0,57.625,293.46,1000,0.29346,59.93,0,20,61.73,0,3,4,4,6,6,6,9,9,11,12,15,17,18,18,18,18,19,19
Datong,Shanxi,??,1,170.5833333,1,77.58333333,1,3.9025,0,62.875,0,8.791666667,1,84.08333333,122.75,130.2,0.942780338,15.76,0,12.29,25.86,0,4,5,6,8,9,9,9,9,9,10,11,11,11,11,12,12,12,12
Yangquan,Shanxi,??,1,113.2083333,1,63.41666667,1,1.71625,0,60.95833333,0,10.91666667,0,53.91666667,61.91,68.93,0.898157551,4.56,0,11.32,11.37,0,1,1,1,1,2,2,2,3,4,4,4,4,4,4,4,4,4,4
Changzhi,Shanxi,??,0,92.91666667,0,56.79166667,1,1.490416667,0,51.625,0,25.125,0,34.5,71.48,76.2,0.938057743,1.25,0,12.97,8.84,0,3,3,3,3,3,3,3,5,5,5,7,7,7,8,8,8,8,8
Jincheng,Shanxi,??,1,107.375,0,51.29166667,1,1.4,0,42.70833333,0,30.58333333,0,26.625,49.8,143,0.348251748,3.51,0,4,9.5,0,0,0,2,3,6,7,7,7,8,8,8,8,8,8,8,8,8,9
Shuozhou,Shanxi,??,1,255.8333333,1,131.375,1,1.615416667,0,57.45833333,0,11.95833333,1,116.4166667,37.86,176,0.215113636,12.51,0,0.98,10.02,0,3,3,3,3,3,3,4,4,4,4,6,7,7,7,7,7,7,7
Jinzhong,Shanxi,??,1,140.8333333,1,70.41666667,1,1.53125,0,65.79166667,0,9.875,0,75.75,43.54,450,0.096755556,1.35,0,9.87,15.18,0.12,9,9,11,13,15,19,21,26,27,30,32,32,33,34,35,35,35,35
Yuncheng,Shanxi,??,1,132.125,1,87.79166667,1,1.473333333,0,43.70833333,0,26.33333333,0,31.08333333,53,88.9,0.596175478,10.02,0,3.89,7.62,0,7,8,10,10,13,16,17,17,17,17,18,18,19,19,19,19,19,19
Xinzhou,Shanxi,??,1,103.9583333,1,79.125,1,1.42625,0,54.16666667,0,12.20833333,0,40.58333333,27.46,183,0.150054645,8.4,0,1.22,6.95,0,0,0,1,3,3,3,3,3,3,6,6,7,7,7,7,7,7,7
Linfen,Shanxi,??,1,115.7083333,1,78.375,1,1.460833333,0,57.29166667,0,15.29166667,0,56.25,58.16,60,0.969333333,10.52,0,1.3,7.09,1.31,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
Huhehaote,Neimenggu,????,1,150.2916667,1,107.1666667,1,3.462083333,0,69.95833333,0,13.95833333,0,43.79166667,155.82,265.03,0.587933441,33.22,1,19.36,43.11,6.15,2,2,2,2,4,4,5,5,7,7,7,7,7,7,7,7,7,7
Baotou,Neimenggu,??,1,140.4583333,1,103.1666667,1,3.212083333,0,73.08333333,0,9,0,43.08333333,137.8,885,0.155706215,23.65,0,52.5,24.4,0,3,3,3,5,6,6,7,9,9,9,10,11,11,11,11,11,11,11
