Country Code,continent,Country Name,date,total_cases_per_100k,total_deaths_per_100k,GDP PC PPP 2010-2019 avg,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter), 2010-2017 average",population_density,female_smokers,male_smokers,median_age,human_development_index
AFG,Asia,Afghanistan,07/01/2021,136.6793,5.7876,1936.001195,61.61650983,54.422,,,18.6,0.498
ALB,Europe,Albania,07/01/2021,2144.1726,42.4977,11459.36472,19.91927149,104.871,7.1,51.2,38,0.785
DZA,Africa,Algeria,07/01/2021,231.1963,6.367,12545.85235,35.68404843,17.348,0.7,30.4,29.1,0.754
AND,Europe,Andorra,07/01/2021,10804.3746,108.7168,#DIV/0!,11.64468524,163.755,29,37.8,,0.858
AGO,Africa,Angola,07/01/2021,54.6883,1.2566,7169.433092,33.10608142,23.89,,,16.8,0.581
ATG,North America,Antigua and Barbuda,07/01/2021,166.4488,5.1058,20364.34864,20.54855224,231.845,,,32.1,0.78
ARG,South America,Argentina,07/01/2021,3739.3007,97.6242,20321.81809,15.26705175,16.177,16.2,27.7,31.9,0.825
ARM,Asia,Armenia,07/01/2021,5435.0753,97.8998,10188.50639,35.12333524,102.931,1.5,52.1,35.7,0.755
AUS,Oceania,Australia,07/01/2021,112.0437,3.5647,45831.24521,9.771093197,3.202,13,16.5,37.9,0.939
AUT,Europe,Austria,07/01/2021,4160.7079,72.9259,49404.26773,13.88519529,106.749,28.4,30.9,44.4,0.908
AZE,Asia,Azerbaijan,07/01/2021,2198.2558,28.0595,15236.23018,21.67475892,119.309,0.3,42.5,32.4,0.757
BHS,North America,"Bahamas, The",07/01/2021,2023.9137,44.5012,33738.48191,19.43901197,39.497,3.1,20.4,34.3,0.807
BHR,Asia,Bahrain,07/01/2021,5561.4684,20.7454,47857.43591,67.93614402,1935.907,5.8,37.6,32.4,0.846
BGD,Asia,Bangladesh,07/01/2021,315.6882,4.6864,3445.270344,66.71846527,1265.036,1,44.7,27.5,0.608
BRB,North America,Barbados,07/01/2021,258.5508,2.4359,15842.39979,25.89908689,664.463,1.9,14.5,39.8,0.8
BLR,Europe,Belarus,07/01/2021,2188.4747,15.7577,17755.32408,20.74419208,46.858,10.5,46.1,40.3,0.808
BEL,Europe,Belgium,07/01/2021,5683.1477,172.0161,45651.16723,14.12400945,375.564,25.1,31.4,41.8,0.916
BLZ,North America,Belize,07/01/2021,2804.6808,67.1494,7317.884636,25.93532654,16.426,,,25,0.708
BEN,Africa,Benin,07/01/2021,27.2535,0.3629,2794.762605,34.4984894,99.11,0.6,12.3,18.8,0.515
BTN,Asia,Bhutan,07/01/2021,99.4023,0,9055.596842,40.95711824,21.188,,,28.6,0.612
BOL,South America,Bolivia,07/01/2021,1446.8481,79.7051,6931.945431,25.02606839,10.202,,,25.4,0.693
BIH,Europe,Bosnia and Herzegovina,07/01/2021,3456.2144,128.3523,11884.57213,30.30672657,68.496,30.2,47.7,42.5,0.768
BWA,Africa,Botswana,07/01/2021,682.5068,2.0411,15567.99051,24.40654036,4.044,5.7,34.4,25.8,0.717
BRA,South America,Brazil,07/01/2021,3745.6225,94.3256,14794.02125,14.33916695,25.04,10.1,17.9,33.5,0.759
BRN,Asia,Brunei Darussalam,07/01/2021,39.5444,0.6857,72950.8257,6.694897448,81.347,2,30.9,32.4,0.853
BGR,Europe,Bulgaria,07/01/2021,2982.8113,115.3783,18377.40039,21.33161977,65.18,30.1,44.4,44.7,0.813
BFA,Africa,Burkina Faso,07/01/2021,36.8985,0.4258,1781.318323,38.98101901,70.151,1.6,23.9,17.6,0.423
BDI,Africa,Burundi,07/01/2021,7.4427,0.0168,743.1826828,39.12096123,423.062,,,17.5,0.417
CPV,Africa,Cabo Verde,07/01/2021,2184.5795,20.3242,6192.179105,32.83634761,135.58,2.1,16.5,25.7,0.654
KHM,Asia,Cambodia,07/01/2021,2.3088,0,3297.58416,28.7565992,90.672,2,33.7,25.6,0.582
CMR,Africa,Cameroon,07/01/2021,101.1382,1.6876,3168.070203,64.76234698,50.885,,,18.8,0.556
CAN,North America,Canada,07/01/2021,1694.9031,43.9694,44902.91979,7.558178106,4.037,12,16.6,41.4,0.926
CAF,Africa,Central African Republic,07/01/2021,102.8829,1.3044,903.818116,53.56162258,7.479,,,18.3,0.367
TCD,Africa,Chad,07/01/2021,14.3554,0.6392,1688.003731,59.28038986,11.833,,,16.7,0.404
CHL,South America,Chile,07/01/2021,3291.322,88.4747,21852.70557,23.68415269,24.282,34.2,41.5,35.4,0.843
CHN,Asia,China,07/01/2021,6.7034,0.3327,12442.96266,61.63373427,147.674,1.9,48.4,38.7,0.752
COL,South America,Colombia,07/01/2021,3414.4036,88.5701,12979.65664,18.92223857,44.223,4.7,13.5,32.2,0.747
COM,Africa,Comoros,07/01/2021,120.7459,1.8399,2690.430271,20.90428639,437.352,4.4,23.6,20.4,0.503
COD,Africa,"Congo, Dem. Rep.",07/01/2021,20.922,0.6811,851.6658211,43.53915708,35.879,,,17,0.457
COG,Africa,"Congo, Rep.",07/01/2021,129.157,1.9572,4971.865437,44.76638552,15.405,1.7,52.3,19,0.606
CRI,North America,Costa Rica,07/01/2021,3462.9574,44.8753,16057.96119,17.80704838,96.079,6.4,17.4,33.6,0.794
CIV,Africa,Cote d'Ivoire,07/01/2021,87.8488,0.5232,3710.911705,23.6449209,76.399,,,18.7,0.492
HRV,Europe,Croatia,07/01/2021,5282.1886,103.9153,23494.78115,19.55262292,73.726,34.3,39.9,44,0.831
CUB,North America,Cuba,07/01/2021,119.0029,1.3067,#DIV/0!,22.0519213,110.408,17.1,53.3,43.1,0.777
CYP,Europe,Cyprus,07/01/2021,2992.1258,15.9836,34436.29657,18.71619022,127.657,19.6,52.7,37.3,0.869
CZE,Europe,Czech Republic,07/01/2021,7421.2469,117.8543,33688.81007,18.05963455,137.176,30.5,38.3,43.3,0.888
DNK,Europe,Denmark,07/01/2021,3064.5853,25.6897,49215.8563,11.04711237,136.52,19.3,18.8,42.3,0.929
DJI,Africa,Djibouti,07/01/2021,592.8126,6.1741,4809.441833,42.16979092,41.285,1.7,24.5,25.4,0.476
DMA,North America,Dominica,07/01/2021,145.8516,0,10883.12907,21.69551686,98.567,,,,0.715
DOM,North America,Dominican Republic,07/01/2021,1636.1963,22.3361,14239.40917,15.2733599,222.873,8.5,19.1,27.6,0.736
ECU,South America,Ecuador,07/01/2021,1237.7955,80.2469,10761.75811,17.34738459,66.939,2,12.3,28.1,0.752
