FIPS,County,DeathRate
01003,Baldwin County,1.13
01027,Clay County,2.85
01033,Colbert County,1.2
01049,DeKalb County,0.84
01051,Elmore County,1.15
01053,Escambia County,1.14
01055,Etowah County,0.96
01069,Houston County,0.88
01073,Jefferson County,1.33
01089,Madison County,0.7
01097,Mobile County,1.83
01101,Montgomery County,1.58
01103,Morgan County,0.89
01109,Pike County,0.98
01113,Russell County,0.23
01117,Shelby County,0.6
01119,Sumter County,2.92
01121,Talladega County,1.88
01125,Tuscaloosa County,1.33
01127,Walker County,2.96
02020,Anchorage Municipality,0.52
02050,Bethel Census Area,0.43
02068,Denali Borough,0
02090,Fairbanks North Star Borough,0.39
02110,Juneau City and Borough,0.47
02122,Kenai Peninsula Borough,0.5
02130,Ketchikan Gateway Borough,0.39
02170,Matanuska-Susitna Borough,0.26
04001,Apache County,3.14
04003,Cochise County,1.85
04005,Coconino County,1.82
04007,Gila County,3.06
04012,La Paz County,2.1
04013,Maricopa County,1.52
04015,Mohave County,2.54
04017,Navajo County,2.96
04019,Pima County,1.54
04021,Pinal County,1.26
04023,Santa Cruz County,1.75
04025,Yavapai County,2.03
04027,Yuma County,1.85
05001,Arkansas County,2.26
05003,Ashley County,1.5
05007,Benton County,1.37
05019,Clark County,1.71
05031,Craighead County,1.33
05035,Crittenden County,1.65
05045,Faulkner County,1.18
05051,Garland County,2.44
05067,Jackson County,0.89
05069,Jefferson County,1.87
05089,Marion County,3.25
05091,Miller County,0.84
05093,Mississippi County,2.1
05101,Newton County,4.02
05107,Phillips County,1.86
05113,Polk County,3.41
05115,Pope County,1.04
05119,Pulaski County,1.52
05131,Sebastian County,1.48
05139,Union County,2.73
05143,Washington County,0.97
05145,White County,1.35
06001,Alameda County,1.22
06005,Amador County,0.92
06007,Butte County,1.3
06009,Calaveras County,1.54
06011,Colusa County,0.58
06013,Contra Costa County,0.83
06015,Del Norte County,0.25
06017,El Dorado County,0.49
06019,Fresno County,0.95
06021,Glenn County,1.05
06023,Humboldt County,1.13
06025,Imperial County,1.86
06027,Inyo County,3.33
06029,Kern County,0.69
06031,Kings County,0.62
06033,Lake County,1.21
06037,Los Angeles County,1.33
06039,Madera County,1.04
06041,Marin County,1.33
06043,Mariposa County,1.24
06045,Mendocino County,1.06
06047,Merced County,1.3
06049,Modoc County,0.82
06051,Mono County,0.41
06053,Monterey County,0.75
06055,Napa County,0.55
06057,Nevada County,1.71
06059,Orange County,1.09
06061,Placer County,1.02
06063,Plumas County,0.92
06065,Riverside County,1.03
06067,Sacramento County,1.31
06069,San Benito County,0.82
06071,San Bernardino County,0.67
06073,San Diego County,0.97
06075,San Francisco County,0.87
06077,San Joaquin County,1.37
06079,San Luis Obispo County,0.74
06081,San Mateo County,0.89
06083,Santa Barbara County,0.92
06085,Santa Clara County,1.1
06087,Santa Cruz County,0.97
06089,Shasta County,1.11
06093,Siskiyou County,0.92
06095,Solano County,0.46
06097,Sonoma County,1.02
06099,Stanislaus County,1.74
06101,Sutter County,0.99
06103,Tehama County,1.09
06105,Trinity County,1.37
06107,Tulare County,1.21
06109,Tuolumne County,1.04
06111,Ventura County,0.64
06113,Yolo County,1.33
08001,Adams County,1.28
08005,Arapahoe County,1.44
08007,Archuleta County,0
08013,Boulder County,1.18
08019,Clear Creek County,0.63
08029,Delta County,1.68
08031,Denver County,1.36
08035,Douglas County,1.21
08039,Elbert County,1.04
08041,El Paso County,1.43
08043,Fremont County,0.51
08045,Garfield County,0.81
08047,Gilpin County,1.49
08051,Gunnison County,0.76
08059,Jefferson County,2.05
08067,La Plata County,1.19
08069,Larimer County,1.04
08077,Mesa County,1.5
08083,Montezuma County,1.37
08093,Park County,1.15
08097,Pitkin County,0.28
08099,Prowers County,1.9
08101,Pueblo County,2.43
08103,Rio Blanco County,1.03
08107,Routt County,1.54
08113,San Miguel County,0
08123,Weld County,1.38
09001,Fairfield County,2.9
09003,Hartford County,3.7
09005,Litchfield County,2.9
09007,Middlesex County,3.7
09009,New Haven County,3.11
09011,New London County,2.22
09013,Tolland County,2.11
09015,Windham County,1.44
10001,Kent County,1.72
10003,New Castle County,1.28
10005,Sussex County,1.81
11001,District of Columbia,2.57
12001,Alachua County,0.79
12003,Baker County,1.42
12005,Bay County,1.72
12009,Brevard County,2.33
12011,Broward County,1.28
12017,Citrus County,3.84
12021,Collier County,1.49
12023,Columbia County,1.83
12031,Duval County,1.1
12033,Escambia County,1.63
12035,Flagler County,1.17
12047,Hamilton County,1.11
