FIPS,County,pm25
01003,Baldwin County,7.5
01027,Clay County,7.4
01055,Etowah County,8.3
01069,Houston County,8.1
01073,Jefferson County,10.4
01089,Madison County,7.4
01097,Mobile County,8.3
01101,Montgomery County,9
01103,Morgan County,7.6
01113,Russell County,9.4
01125,Tuscaloosa County,7.9
02020,Anchorage Municipality,8.2
02090,Fairbanks North Star Borough,15.5
02110,Juneau City and Borough,6.8
02170,Matanuska-Susitna Borough,6.5
04001,Apache County,2.4
04003,Cochise County,5.1
04012,La Paz County,3.3
04013,Maricopa County,8.4
04019,Pima County,3.8
04021,Pinal County,10.9
04023,Santa Cruz County,8.8
04027,Yuma County,7.9
05001,Arkansas County,7.9
05003,Ashley County,8.2
05035,Crittenden County,8.3
05051,Garland County,8.8
05067,Jackson County,8.2
05113,Polk County,8.6
05119,Pulaski County,10.3
05139,Union County,9
05143,Washington County,8
06001,Alameda County,9.4
06009,Calaveras County,5.5
06011,Colusa County,7
06013,Contra Costa County,7.8
06019,Fresno County,11.2
06023,Humboldt County,6.8
06025,Imperial County,10.7
06027,Inyo County,5.2
06029,Kern County,13
06031,Kings County,12.2
06033,Lake County,3.1
06037,Los Angeles County,11
06041,Marin County,6.4
06045,Mendocino County,6
06047,Merced County,9.6
06051,Mono County,8.5
06053,Monterey County,5.5
06055,Napa County,5.9
06057,Nevada County,6.3
06059,Orange County,9.4
06061,Placer County,7.2
06063,Plumas County,12.2
06065,Riverside County,12.7
06067,Sacramento County,8.4
06069,San Benito County,4.9
06071,San Bernardino County,12.8
06073,San Diego County,13.7
06075,San Francisco County,7.7
06077,San Joaquin County,9.3
06079,San Luis Obispo County,7
06081,San Mateo County,7
06083,Santa Barbara County,6.8
06085,Santa Clara County,9.1
06087,Santa Cruz County,6.5
06089,Shasta County,6.7
06093,Siskiyou County,5.9
06095,Solano County,8.6
06097,Sonoma County,5.7
06099,Stanislaus County,10.6
06101,Sutter County,8.4
06103,Tehama County,5.4
06107,Tulare County,12.9
06111,Ventura County,7.3
08001,Adams County,9
08005,Arapahoe County,6
08013,Boulder County,7.4
08029,Delta County,3.7
08031,Denver County,10
08035,Douglas County,6.2
08041,El Paso County,5
08045,Garfield County,3.5
08069,Larimer County,6
08077,Mesa County,5
08101,Pueblo County,4.7
08103,Rio Blanco County,7.9
08123,Weld County,9
09001,Fairfield County,7.8
09003,Hartford County,7.3
09005,Litchfield County,4.6
09009,New Haven County,7.7
09011,New London County,6.5
10001,Kent County,7.6
10003,New Castle County,7.8
10005,Sussex County,7.6
11001,District of Columbia,8.9
12001,Alachua County,7.1
12011,Broward County,8.9
12031,Duval County,8.6
12033,Escambia County,8.4
12071,Lee County,7.4
12073,Leon County,7.7
12086,Miami-Dade County,7.7
12095,Orange County,6.5
12099,Palm Beach County,6.7
12103,Pinellas County,7.7
12105,Polk County,7.7
12115,Sarasota County,6.8
12117,Seminole County,6.9
12127,Volusia County,7.5
13021,Bibb County,9.1
13059,Clarke County,9.8
13063,Clayton County,8.7
13067,Cobb County,8.6
13069,Coffee County,7.2
13089,DeKalb County,8.4
13095,Dougherty County,9.3
13121,Fulton County,9.5
13127,Glynn County,7.6
13135,Gwinnett County,10.8
13139,Hall County,9.3
13153,Houston County,9.5
13185,Lowndes County,7.6
13215,Muscogee County,9.1
13245,Richmond County,10.7
13295,Walker County,9
13303,Washington County,8.2
15001,Hawaii County,3.2
15003,Honolulu County,3.9
15007,Kauai County,2.9
15009,Maui County,4.1
16001,Ada County,5.2
