FIPS,County,povrate
01001,Autauga County,12.1
01003,Baldwin County,10.1
01005,Barbour County,27.1
01007,Bibb County,20.3
01009,Blount County,16.3
01011,Bullock County,30
01013,Butler County,21.6
01015,Calhoun County,17.2
01017,Chambers County,19.6
01019,Cherokee County,15.9
01021,Chilton County,16
01023,Choctaw County,22.6
01025,Clarke County,18.4
01027,Clay County,16.6
01029,Cleburne County,13.3
01031,Coffee County,15
01033,Colbert County,14.6
01035,Conecuh County,22.2
01037,Coosa County,17.1
01039,Covington County,17.2
01041,Crenshaw County,16.8
01043,Cullman County,12.2
01045,Dale County,18.1
01047,Dallas County,26
01049,DeKalb County,18.2
01051,Elmore County,11.4
01053,Escambia County,20.5
01055,Etowah County,18.8
01057,Fayette County,17
01059,Franklin County,16.1
01061,Geneva County,16.1
01063,Greene County,31.7
01065,Hale County,20.5
01067,Henry County,17.2
01069,Houston County,19.4
01071,Jackson County,14.7
01073,Jefferson County,16.2
01075,Lamar County,15.3
01077,Lauderdale County,15.7
01079,Lawrence County,17.7
01081,Lee County,15.5
01083,Limestone County,12
01085,Lowndes County,26.6
01087,Macon County,29.3
01089,Madison County,11.5
01091,Marengo County,24.8
01093,Marion County,16.9
01095,Marshall County,15.7
01097,Mobile County,17.7
01099,Monroe County,23.3
01101,Montgomery County,15.8
01103,Morgan County,13.7
01105,Perry County,33.9
01107,Pickens County,24.3
01109,Pike County,21.8
01111,Randolph County,17.5
01113,Russell County,18.9
01115,St. Clair County,11.2
01117,Shelby County,6.2
01119,Sumter County,36.4
01121,Talladega County,17.4
01123,Tallapoosa County,16
01125,Tuscaloosa County,16.2
01127,Walker County,17.3
01129,Washington County,18.6
01131,Wilcox County,32.5
01133,Winston County,16.7
02013,Aleutians East Borough,14.8
02016,Aleutians West Census Area,7.6
02020,Anchorage Municipality,9.5
02050,Bethel Census Area,23.5
02060,Bristol Bay Borough,9.8
02068,Denali Borough,6.6
02070,Dillingham Census Area,18.1
02090,Fairbanks North Star Borough,7.2
02100,Haines Borough,9.8
02105,Hoonah-Angoon Census Area,15.7
02110,Juneau City and Borough,6.3
02122,Kenai Peninsula Borough,10.4
02130,Ketchikan Gateway Borough,9.4
02150,Kodiak Island Borough,7.1
02158,Kusilvak Census Area,26.8
02164,Lake and Peninsula Borough,17.4
02170,Matanuska-Susitna Borough,9.6
02180,Nome Census Area,20.7
02185,North Slope Borough,11.4
02188,Northwest Arctic Borough,24
